Basic scripting,Write simple code in Python
Basic scripting,Write simple code in Javascript
Basic scripting,Other languages
Basic scripting,ML code snippets
General coding help,Rewrite code using better formatting / best practises
General coding help,Refactor code
General coding help,Explain complex code snippets
General coding help,Add comments to code
General coding help,Do a code review
Write unit test,Cover different languages
Write unit test,Explain code with comments
Write unit test,Import dependencies
Interview preparation,Algorithm problems
Interview preparation,Explain the problem step by step
Interview preparation,Write optimal code
Interview preparation,Explain areas where people usually make mistakes
Interview preparation,Explain alternative solutions and trade offs
Interview preparation,Debug and fix code
Interview preparation,System Design rounds
Interview preparation,Proactively ask follow up questions
Interview preparation,User asks AI help to take an Interview. AI takes an interview
Debugging and Troubleshooting,Debug error trace
Debugging and Troubleshooting,Troubleshooting failures in installation
DevOps,- mobile development frameworks
DevOps,- IDE integration
DevOps,- continous development frameworks
DevOps,- monitoring frameworks
DevOps,- cloud infrastructure
DevOps,- database integration
Learning,Learn to program
Learning,Learn to use some tool / infra
